id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code,city_name
4123,500,8/29/2013 10:14,Grant Avenue at Columbus Avenue,73,8/29/2013 10:22,Clay at Battery,41,503,Subscriber,94115,10
4125,464,8/29/2013 10:14,Mechanics Plaza (Market at Battery),75,8/29/2013 10:22,Powell at Post (Union Square),71,528,Subscriber,94110,10
4130,71,8/29/2013 10:16,Mountain View City Hall,27,8/29/2013 10:17,Mountain View City Hall,27,48,Subscriber,97214,1
4132,3637,8/29/2013 10:17,South Van Ness at Market,66,8/29/2013 11:17,San Francisco Caltrain 2 (330 Townsend),69,327,Subscriber,94124,10
4133,1965,8/29/2013 10:17,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 10:50,Powell Street BART,39,316,Customer,1576245,10
4134,574,8/29/2013 10:19,Market at 4th,76,8/29/2013 10:29,2nd at South Park,64,426,Customer,94117,10
4135,3492,8/29/2013 10:19,South Van Ness at Market,66,8/29/2013 11:18,San Francisco Caltrain 2 (330 Townsend),69,318,Subscriber,94123,10
4136,688,8/29/2013 10:20,Mountain View City Hall,27,8/29/2013 10:31,Mountain View City Hall,27,149,Customer,92545,1
4160,1271,8/29/2013 10:42,San Jose City Hall,10,8/29/2013 11:03,San Jose City Hall,10,680,Subscriber,95112,11
4164,1276,8/29/2013 10:47,San Jose City Hall,10,8/29/2013 11:09,San Jose City Hall,10,30,Subscriber,95060,11
4166,7138,8/29/2013 10:49,Spear at Folsom,49,8/29/2013 12:48,Spear at Folsom,49,558,Customer,94105,10
4168,161,8/29/2013 10:56,Beale at Market,56,8/29/2013 10:59,Steuart at Market,74,414,Customer,94117,10
4177,278,8/29/2013 11:03,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:08,2nd at South Park,64,371,Subscriber,94117,10
4190,18240,8/29/2013 11:04,Embarcadero at Vallejo,48,8/29/2013 16:08,Market at Sansome,77,614,Customer,72150,10
4193,18192,8/29/2013 11:04,Embarcadero at Vallejo,48,8/29/2013 16:08,Market at Sansome,77,501,Customer,72150,10
4199,455,8/29/2013 11:05,Grant Avenue at Columbus Avenue,73,8/29/2013 11:13,Clay at Battery,41,409,Customer,95070,10
4204,378,8/29/2013 11:06,San Jose City Hall,10,8/29/2013 11:13,San Jose City Hall,10,28,Subscriber,95136,11
4206,1066,8/29/2013 11:09,Market at 10th,67,8/29/2013 11:27,Steuart at Market,74,632,Customer,98034,10
4210,980,8/29/2013 11:13,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 11:30,South Van Ness at Market,66,319,Subscriber,94118,10
4213,931,8/29/2013 11:14,Grant Avenue at Columbus Avenue,73,8/29/2013 11:30,Post at Kearney,47,473,Customer,20002,10
4214,909,8/29/2013 11:15,Grant Avenue at Columbus Avenue,73,8/29/2013 11:30,Post at Kearney,47,476,Customer,20002,10
4217,1535,8/29/2013 11:17,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:42,South Van Ness at Market,66,370,Subscriber,94703,10
4218,1593,8/29/2013 11:17,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:43,South Van Ness at Market,66,377,Subscriber,94114,10
4219,1150,8/29/2013 11:18,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:37,Civic Center BART (7th at Market),72,597,Subscriber,97214,10
4221,1500,8/29/2013 11:18,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:43,South Van Ness at Market,66,546,Subscriber,94123,10
4225,21612,8/29/2013 11:18,Powell Street BART,39,8/29/2013 17:18,Market at 10th,67,464,Customer,58553,10
4234,1351,8/29/2013 11:19,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 11:42,South Van Ness at Market,66,317,Subscriber,94124,10
4241,2124,8/29/2013 11:22,South Van Ness at Market,66,8/29/2013 11:58,Beale at Market,56,320,Subscriber,94103,10
4242,141,8/29/2013 11:25,San Jose City Hall,10,8/29/2013 11:27,San Jose City Hall,10,26,Subscriber,95060,11
4243,720,8/29/2013 11:26,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:38,San Francisco Caltrain (Townsend at 4th),70,538,Subscriber,94117,10
4244,1071,8/29/2013 11:26,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:44,San Francisco City Hall,58,572,Subscriber,94122,10
4251,77,8/29/2013 11:29,San Jose City Hall,10,8/29/2013 11:30,San Jose City Hall,10,26,Subscriber,95060,11
4252,1350,8/29/2013 11:30,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 11:52,Embarcadero at Vallejo,48,321,Subscriber,94114,10
4254,1032,8/29/2013 11:31,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 11:48,San Francisco Caltrain 2 (330 Townsend),69,541,Customer,94117,10
4256,629,8/29/2013 11:32,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 11:43,Embarcadero at Bryant,54,376,Subscriber,94105,10
4258,114,8/29/2013 11:33,San Jose City Hall,10,8/29/2013 11:35,MLK Library,11,107,Subscriber,95060,11
4265,151,8/29/2013 11:40,San Francisco City Hall,58,8/29/2013 11:42,San Francisco City Hall,58,520,Subscriber,94110,10
4268,1055,8/29/2013 11:40,Market at 10th,67,8/29/2013 11:57,Beale at Market,56,324,Subscriber,94127,10
4275,883,8/29/2013 11:43,Mechanics Plaza (Market at Battery),75,8/29/2013 11:57,South Van Ness at Market,66,626,Subscriber,94107,10
4276,173,8/29/2013 11:45,2nd at Townsend,61,8/29/2013 11:48,2nd at South Park,64,280,Customer,95819,10
4277,759,8/29/2013 11:50,San Francisco City Hall,58,8/29/2013 12:03,Post at Kearney,47,514,Subscriber,94117,10
4278,353,8/29/2013 11:52,Harry Bridges Plaza (Ferry Building),50,8/29/2013 11:58,Commercial at Montgomery,45,596,Subscriber,94123,10
4279,1105,8/29/2013 11:53,Post at Kearney,47,8/29/2013 12:12,Post at Kearney,47,602,Subscriber,94114,10
4280,309,8/29/2013 11:53,San Francisco City Hall,58,8/29/2013 11:58,South Van Ness at Market,66,636,Subscriber,94117,10
4282,572,8/29/2013 11:54,San Francisco Caltrain (Townsend at 4th),70,8/29/2013 12:04,Townsend at 7th,65,538,Customer,37206,10
4283,1712,8/29/2013 11:55,Clay at Battery,41,8/29/2013 12:23,Harry Bridges Plaza (Ferry Building),50,544,Subscriber,94070,10
4284,1281,8/29/2013 11:55,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:17,Embarcadero at Sansome,60,584,Customer,1576245,10
4285,657,8/29/2013 11:56,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:07,Embarcadero at Vallejo,48,338,Subscriber,94608,10
4287,572,8/29/2013 11:56,Powell Street BART,39,8/29/2013 12:06,Commercial at Montgomery,45,435,Subscriber,94102,10
4288,760,8/29/2013 11:57,Spear at Folsom,49,8/29/2013 12:10,Market at 4th,76,562,Subscriber,94110,10
4289,970,8/29/2013 11:58,Steuart at Market,74,8/29/2013 12:14,Steuart at Market,74,570,Subscriber,94109,10
4290,309,8/29/2013 11:58,Powell Street BART,39,8/29/2013 12:03,Market at 10th,67,496,Customer,94107,10
4292,1373,8/29/2013 11:59,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:22,Embarcadero at Sansome,60,356,Customer,39110,10
4293,1346,8/29/2013 12:00,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:22,Embarcadero at Sansome,60,579,Customer,39110,10
4296,430,8/29/2013 12:00,Post at Kearney,47,8/29/2013 12:08,2nd at South Park,64,593,Subscriber,94117,10
4297,1451,8/29/2013 12:01,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 12:25,Mechanics Plaza (Market at Battery),75,315,Customer,94158,10
4298,460,8/29/2013 12:02,Cowper at University,37,8/29/2013 12:10,University and Emerson,35,9,Subscriber,94025,2
4299,83,8/29/2013 12:02,South Van Ness at Market,66,8/29/2013 12:04,Market at 10th,67,319,Subscriber,94103,10
4300,346,8/29/2013 12:03,Post at Kearney,47,8/29/2013 12:09,Harry Bridges Plaza (Ferry Building),50,603,Customer,94105,10
4301,471,8/29/2013 12:03,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 12:11,Yerba Buena Center of the Arts (3rd @ Howard),68,522,Subscriber,94117,10
4302,2138,8/29/2013 11:58,Davis at Jackson,42,8/29/2013 12:33,Market at 4th,76,615,Subscriber,94129,10
4303,1305,8/29/2013 12:03,San Francisco City Hall,58,8/29/2013 12:25,Steuart at Market,74,523,Customer,1576245,10
4304,508,8/29/2013 12:04,San Francisco City Hall,58,8/29/2013 12:12,Civic Center BART (7th at Market),72,374,Subscriber,94109,10
4305,1292,8/29/2013 12:04,San Francisco City Hall,58,8/29/2013 12:25,Steuart at Market,74,634,Customer,1576245,10
4307,1110,8/29/2013 12:04,Mechanics Plaza (Market at Battery),75,8/29/2013 12:23,Mechanics Plaza (Market at Battery),75,600,Subscriber,94109,10
4308,1000,8/29/2013 12:04,Redwood City Caltrain Station,22,8/29/2013 12:21,Redwood City Caltrain Station,22,159,Subscriber,94061,3
4309,423,8/29/2013 12:04,Steuart at Market,74,8/29/2013 12:11,Embarcadero at Folsom,51,340,Subscriber,94127,10
4310,537,8/29/2013 12:05,Japantown,9,8/29/2013 12:14,Japantown,9,638,Subscriber,95112,11
4311,1191,8/29/2013 12:05,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 12:25,Mechanics Plaza (Market at Battery),75,518,Customer,94158,10
4312,369,8/29/2013 12:06,Commercial at Montgomery,45,8/29/2013 12:12,Mechanics Plaza (Market at Battery),75,378,Subscriber,94117,10
4313,5709,8/29/2013 12:06,Temporary Transbay Terminal (Howard at Beale),55,8/29/2013 13:41,Temporary Transbay Terminal (Howard at Beale),55,352,Customer,1576245,10
4314,464,8/29/2013 12:07,Clay at Battery,41,8/29/2013 12:14,Clay at Battery,41,409,Customer,94105,10
4315,1432,8/29/2013 12:07,Townsend at 7th,65,8/29/2013 12:31,5th at Howard,57,538,Customer,37206,10
4316,1515,8/29/2013 12:07,Post at Kearney,47,8/29/2013 12:32,Post at Kearney,47,514,Subscriber,94122,10
4317,241,8/29/2013 12:07,San Francisco City Hall,58,8/29/2013 12:11,South Van Ness at Market,66,587,Subscriber,94597,10
4318,1439,8/29/2013 12:07,Embarcadero at Vallejo,48,8/29/2013 12:31,Harry Bridges Plaza (Ferry Building),50,618,Subscriber,94608,10
4319,899,8/29/2013 12:10,South Van Ness at Market,66,8/29/2013 12:25,Beale at Market,56,546,Subscriber,94107,10
4320,520,8/29/2013 12:10,Market at Sansome,77,8/29/2013 12:19,Harry Bridges Plaza (Ferry Building),50,616,Subscriber,94109,10
4321,505,8/29/2013 12:10,Market at Sansome,77,8/29/2013 12:19,Harry Bridges Plaza (Ferry Building),50,625,Subscriber,94110,10
4323,1397,8/29/2013 12:10,South Van Ness at Market,66,8/29/2013 12:34,South Van Ness at Market,66,626,Subscriber,94115,10
4327,1438,8/29/2013 12:11,Market at 10th,67,8/29/2013 12:35,Washington at Kearney,46,575,Subscriber,94609,10
4328,1328,8/29/2013 12:11,Market at 10th,67,8/29/2013 12:33,Commercial at Montgomery,45,448,Subscriber,94122,10
4329,142,8/29/2013 12:11,Market at 10th,67,8/29/2013 12:14,Market at 10th,67,319,Subscriber,94103,10
4331,307,8/29/2013 12:12,University and Emerson,35,8/29/2013 12:17,Cowper at University,37,144,Subscriber,94025,2
4332,1373,8/29/2013 12:12,Market at 10th,67,8/29/2013 12:35,Commercial at Montgomery,45,416,Subscriber,94703,10
4334,398,8/29/2013 12:12,Market at Sansome,77,8/29/2013 12:19,Harry Bridges Plaza (Ferry Building),50,428,Customer,94709,10
4335,1321,8/29/2013 12:11,Market at 4th,76,8/29/2013 12:33,Embarcadero at Vallejo,48,494,Customer,1576245,10
4336,611,8/29/2013 12:12,Post at Kearney,47,8/29/2013 12:22,Harry Bridges Plaza (Ferry Building),50,602,Subscriber,94118,10
4337,219,8/29/2013 12:13,Grant Avenue at Columbus Avenue,73,8/29/2013 12:16,Commercial at Montgomery,45,506,Subscriber,94109,10
4339,765,8/29/2013 12:12,Spear at Folsom,49,8/29/2013 12:25,Harry Bridges Plaza (Ferry Building),50,568,Subscriber,94112,10
4340,767,8/29/2013 12:13,University and Emerson,35,8/29/2013 12:26,California Ave Caltrain Station,36,163,Subscriber,94040,2
4341,252,8/29/2013 12:13,San Francisco City Hall,58,8/29/2013 12:17,South Van Ness at Market,66,547,Subscriber,94115,10
4342,1431,8/29/2013 12:13,Market at 10th,67,8/29/2013 12:37,Clay at Battery,41,502,Customer,94117,10
4343,445,8/29/2013 12:14,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:21,Howard at 2nd,63,603,Subscriber,94403,10
4345,1162,8/29/2013 12:14,Market at 10th,67,8/29/2013 12:33,Commercial at Montgomery,45,319,Subscriber,94103,10
4346,724,8/29/2013 12:14,Embarcadero at Folsom,51,8/29/2013 12:26,San Francisco Caltrain (Townsend at 4th),70,267,Subscriber,94127,10
4347,389,8/29/2013 12:15,San Jose City Hall,10,8/29/2013 12:21,San Pedro Square,6,146,Subscriber,95112,11
4348,418,8/29/2013 12:14,Temporary Transbay Terminal (Howard at Beale),55,8/29/2013 12:21,Market at Sansome,77,628,Subscriber,94965,10
4349,674,8/29/2013 12:15,Japantown,9,8/29/2013 12:26,SJSU 4th at San Carlos,12,46,Subscriber,95112,11
4350,701,8/29/2013 12:16,Clay at Battery,41,8/29/2013 12:27,Post at Kearney,47,394,Customer,94612,10
4351,1298,8/29/2013 12:16,Market at 10th,67,8/29/2013 12:37,Clay at Battery,41,496,Customer,1576245,10
4352,874,8/29/2013 12:16,South Van Ness at Market,66,8/29/2013 12:31,Market at Sansome,77,387,Subscriber,94117,10
4355,2044,8/29/2013 12:18,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/2013 12:52,Yerba Buena Center of the Arts (3rd @ Howard),68,548,Customer,94105,10
4356,587,8/29/2013 12:18,Embarcadero at Vallejo,48,8/29/2013 12:28,Spear at Folsom,49,542,Subscriber,94105,10
4358,784,8/29/2013 12:20,Embarcadero at Folsom,51,8/29/2013 12:33,Beale at Market,56,273,Subscriber,94597,10
4359,1159,8/29/2013 12:21,South Van Ness at Market,66,8/29/2013 12:40,Steuart at Market,74,516,Subscriber,94121,10
4360,637,8/29/2013 12:21,South Van Ness at Market,66,8/29/2013 12:32,Market at 4th,76,636,Subscriber,94117,10
4363,15244,8/29/2013 12:23,Market at 4th,76,8/29/2013 16:37,Powell Street BART,39,434,Customer,1576245,10
4364,1800,8/29/2013 12:24,South Van Ness at Market,66,8/29/2013 12:54,Market at Sansome,77,547,Subscriber,10009,10
4365,1094,8/29/2013 12:24,Arena Green / SAP Center,14,8/29/2013 12:42,Arena Green / SAP Center,14,647,Subscriber,95126,11
4366,607,8/29/2013 12:24,San Francisco City Hall,58,8/29/2013 12:34,South Van Ness at Market,66,525,Subscriber,94703,10
4367,579,8/29/2013 12:24,San Francisco City Hall,58,8/29/2013 12:34,South Van Ness at Market,66,520,Subscriber,94122,10
4368,1241,8/29/2013 12:25,Market at 4th,76,8/29/2013 12:45,Embarcadero at Sansome,60,488,Customer,20002,10
4369,540,8/29/2013 12:25,Davis at Jackson,42,8/29/2013 12:34,Market at 4th,76,617,Customer,1719,10
4372,1211,8/29/2013 12:25,Market at 4th,76,8/29/2013 12:45,Embarcadero at Sansome,60,459,Customer,20002,10
4373,1083,8/29/2013 12:22,Palo Alto Caltrain Station,34,8/29/2013 12:40,University and Emerson,35,83,Subscriber,94117,2
4374,563,8/29/2013 12:23,Beale at Market,56,8/29/2013 12:32,Commercial at Montgomery,45,410,Subscriber,94117,10
4375,880,8/29/2013 12:26,California Ave Caltrain Station,36,8/29/2013 12:41,University and Emerson,35,161,Subscriber,94040,2
4376,320,8/29/2013 12:27,Clay at Battery,41,8/29/2013 12:32,Harry Bridges Plaza (Ferry Building),50,534,Subscriber,94115,10
4377,289,8/29/2013 12:27,Market at Sansome,77,8/29/2013 12:32,Temporary Transbay Terminal (Howard at Beale),55,471,Subscriber,94965,10
4378,173,8/29/2013 12:27,Civic Center BART (7th at Market),72,8/29/2013 12:30,Civic Center BART (7th at Market),72,374,Subscriber,94110,10
4379,610,8/29/2013 12:29,MLK Library,11,8/29/2013 12:39,MLK Library,11,669,Subscriber,95112,11
4380,853,8/29/2013 12:29,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 12:44,Market at 10th,67,574,Subscriber,94127,10
4385,398,8/29/2013 12:30,Civic Center BART (7th at Market),72,8/29/2013 12:37,Golden Gate at Polk,59,397,Subscriber,94109,10
4386,134,8/29/2013 12:31,Clay at Battery,41,8/29/2013 12:33,Beale at Market,56,503,Subscriber,94109,10
4388,3582,8/29/2013 12:33,Embarcadero at Sansome,60,8/29/2013 13:33,San Francisco City Hall,58,462,Customer,21144,10
4390,825,8/29/2013 12:33,2nd at Folsom,62,8/29/2013 12:47,2nd at South Park,64,331,Subscriber,94518,10
4391,873,8/29/2013 12:33,South Van Ness at Market,66,8/29/2013 12:48,Townsend at 7th,65,369,Subscriber,94549,10
4392,323,8/29/2013 12:34,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:39,Embarcadero at Vallejo,48,428,Subscriber,94123,10
4393,343,8/29/2013 12:34,Commercial at Montgomery,45,8/29/2013 12:40,Market at Sansome,77,319,Subscriber,94103,10
4394,1309,8/29/2013 12:34,SJSU 4th at San Carlos,12,8/29/2013 12:56,San Salvador at 1st,8,46,Subscriber,95112,11
4395,885,8/29/2013 12:35,Grant Avenue at Columbus Avenue,73,8/29/2013 12:49,Post at Kearney,47,505,Customer,94108,10
4396,462,8/29/2013 12:36,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/2013 12:43,2nd at South Park,64,569,Customer,94133,10
4397,950,8/29/2013 12:36,2nd at Townsend,61,8/29/2013 12:52,Steuart at Market,74,312,Customer,95819,10
4398,607,8/29/2013 12:37,South Van Ness at Market,66,8/29/2013 12:47,Market at 4th,76,377,Subscriber,94117,10
4399,355,8/29/2013 12:39,Redwood City Caltrain Station,22,8/29/2013 12:45,Redwood City Medical Center,26,74,Subscriber,94041,3
4400,189,8/29/2013 12:39,Washington at Kearney,46,8/29/2013 12:42,Clay at Battery,41,619,Subscriber,94609,10
4401,222,8/29/2013 12:39,Embarcadero at Vallejo,48,8/29/2013 12:43,Harry Bridges Plaza (Ferry Building),50,613,Subscriber,94123,10
4402,1776,8/29/2013 12:39,2nd at Townsend,61,8/29/2013 13:09,Embarcadero at Folsom,51,313,Customer,95126,10
4403,702,8/29/2013 12:40,Civic Center BART (7th at Market),72,8/29/2013 12:52,Steuart at Market,74,576,Subscriber,94065,10
4404,768,8/29/2013 12:40,Powell Street BART,39,8/29/2013 12:53,Civic Center BART (7th at Market),72,430,Subscriber,94117,10
4405,571,8/29/2013 12:41,Market at Sansome,77,8/29/2013 12:50,Market at 10th,67,319,Subscriber,94103,10
4406,687,8/29/2013 12:41,Steuart at Market,74,8/29/2013 12:53,Embarcadero at Sansome,60,561,Subscriber,94109,10
4407,690,8/29/2013 12:41,Steuart at Market,74,8/29/2013 12:53,Embarcadero at Sansome,60,556,Subscriber,94121,10
4408,385,8/29/2013 12:41,5th at Howard,57,8/29/2013 12:48,Powell at Post (Union Square),71,538,Customer,37206,10
4409,485,8/29/2013 12:42,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 12:50,San Francisco Caltrain 2 (330 Townsend),69,327,Subscriber,94110,10
4410,620,8/29/2013 12:42,Clay at Battery,41,8/29/2013 12:53,Mechanics Plaza (Market at Battery),75,601,Customer,94103,10
4411,223,8/29/2013 12:40,2nd at Townsend,61,8/29/2013 12:43,San Francisco Caltrain 2 (330 Townsend),69,259,Subscriber,94117,10
4413,659,8/29/2013 12:43,Post at Kearney,47,8/29/2013 12:54,Davis at Jackson,42,476,Customer,94115,10
4414,393,8/29/2013 12:44,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 12:50,San Francisco Caltrain 2 (330 Townsend),69,259,Customer,91127,10
4417,148,8/29/2013 12:45,Redwood City Caltrain Station,22,8/29/2013 12:48,Redwood City Caltrain Station,22,159,Subscriber,94061,3
4419,556,8/29/2013 12:45,Adobe on Almaden,5,8/29/2013 12:55,San Jose Civic Center,3,671,Subscriber,94536,11
4420,512,8/29/2013 12:46,Townsend at 7th,65,8/29/2013 12:54,2nd at South Park,64,498,Subscriber,94110,10
4421,1724,8/29/2013 12:47,Market at 4th,76,8/29/2013 13:16,Embarcadero at Sansome,60,636,Customer,1719,10
4422,1682,8/29/2013 12:47,Market at 4th,76,8/29/2013 13:15,Embarcadero at Sansome,60,425,Customer,2360,10
4423,254,8/29/2013 12:50,Harry Bridges Plaza (Ferry Building),50,8/29/2013 12:54,Clay at Battery,41,544,Subscriber,94070,10
4425,752,8/29/2013 12:51,Mechanics Plaza (Market at Battery),75,8/29/2013 13:04,Mechanics Plaza (Market at Battery),75,586,Subscriber,94117,10
4426,982,8/29/2013 12:52,2nd at South Park,64,8/29/2013 13:08,2nd at South Park,64,593,Subscriber,94117,10
4428,627,8/29/2013 12:53,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:04,Post at Kearney,47,616,Subscriber,94118,10
4429,380,8/29/2013 12:53,Embarcadero at Sansome,60,8/29/2013 13:00,Embarcadero at Vallejo,48,491,Subscriber,94121,10
4431,980,8/29/2013 12:54,Powell at Post (Union Square),71,8/29/2013 13:10,Post at Kearney,47,507,Subscriber,94109,10
4432,1107,8/29/2013 12:54,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:13,Market at Sansome,77,333,Subscriber,94110,10
4433,1083,8/29/2013 12:54,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:12,Market at Sansome,77,613,Subscriber,94109,10
4434,384,8/29/2013 12:55,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/2013 13:01,San Francisco Caltrain 2 (330 Townsend),69,555,Subscriber,94117,10
4435,418,8/29/2013 12:55,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/2013 13:02,Washington at Kearney,46,548,Customer,2142,10
4436,284,8/29/2013 12:55,Embarcadero at Sansome,60,8/29/2013 13:00,Embarcadero at Vallejo,48,488,Subscriber,94109,10
4437,1052,8/29/2013 12:55,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:12,Market at Sansome,77,578,Subscriber,94110,10
4438,1050,8/29/2013 12:55,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:12,Market at Sansome,77,594,Customer,94709,10
4439,540,8/29/2013 12:55,Civic Center BART (7th at Market),72,8/29/2013 13:04,Market at 4th,76,390,Subscriber,94127,10
4440,534,8/29/2013 12:55,Civic Center BART (7th at Market),72,8/29/2013 13:04,Market at 4th,76,430,Subscriber,94127,10
4442,474,8/29/2013 12:56,Washington at Kearney,46,8/29/2013 13:04,Market at Sansome,77,607,Subscriber,94107,10
4443,245,8/29/2013 12:56,Market at Sansome,77,8/29/2013 13:00,Steuart at Market,74,436,Customer,94960,10
4444,777,8/29/2013 12:57,MLK Library,11,8/29/2013 13:10,San Jose Diridon Caltrain Station,2,107,Subscriber,95126,11
4445,441,8/29/2013 12:58,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:06,Post at Kearney,47,625,Customer,94105,10
4446,678,8/29/2013 13:00,Mechanics Plaza (Market at Battery),75,8/29/2013 13:11,Civic Center BART (7th at Market),72,540,Customer,94103,10
4447,363,8/29/2013 13:00,Steuart at Market,74,8/29/2013 13:06,Spear at Folsom,49,341,Subscriber,94112,10
4448,324,8/29/2013 13:01,Embarcadero at Vallejo,48,8/29/2013 13:06,Davis at Jackson,42,621,Subscriber,94121,10
4449,926,8/29/2013 13:01,Embarcadero at Sansome,60,8/29/2013 13:16,Embarcadero at Vallejo,48,579,Customer,1576245,10
4450,298,8/29/2013 13:01,Embarcadero at Vallejo,48,8/29/2013 13:06,Davis at Jackson,42,598,Subscriber,94109,10
4451,834,8/29/2013 13:02,Harry Bridges Plaza (Ferry Building),50,8/29/2013 13:16,Clay at Battery,41,618,Subscriber,94115,10
4452,1494,8/29/2013 13:02,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 13:27,Embarcadero at Vallejo,48,259,Customer,77459,10
4453,949,8/29/2013 13:04,Embarcadero at Sansome,60,8/29/2013 13:20,Commercial at Montgomery,45,461,Customer,94109,10
4454,340,8/29/2013 13:05,Market at Sansome,77,8/29/2013 13:10,Washington at Kearney,46,590,Subscriber,94107,10
4455,431,8/29/2013 13:05,South Van Ness at Market,66,8/29/2013 13:12,Powell Street BART,39,626,Subscriber,94122,10
4457,1301,8/29/2013 13:05,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 13:27,Embarcadero at Vallejo,48,327,Customer,77459,10
4458,405,8/29/2013 13:05,Powell at Post (Union Square),71,8/29/2013 13:12,Powell at Post (Union Square),71,458,Subscriber,94102,10
4459,215,8/29/2013 13:08,Market at 10th,67,8/29/2013 13:11,Civic Center BART (7th at Market),72,319,Subscriber,94114,10
4460,693,8/29/2013 13:08,2nd at Townsend,61,8/29/2013 13:20,Harry Bridges Plaza (Ferry Building),50,314,Customer,94608,10
4461,1314,8/29/2013 13:07,Davis at Jackson,42,8/29/2013 13:29,Market at 10th,67,598,Subscriber,94121,10
4462,646,8/29/2013 13:07,Davis at Jackson,42,8/29/2013 13:18,Mechanics Plaza (Market at Battery),75,543,Subscriber,94109,10
4464,425,8/29/2013 13:09,San Francisco Caltrain 2 (330 Townsend),69,8/29/2013 13:16,Townsend at 7th,65,318,Subscriber,94107,10
4465,419,8/29/2013 13:11,2nd at South Park,64,8/29/2013 13:18,Post at Kearney,47,498,Subscriber,94117,10
